user_id_x,username,email,age,city,post_id,user_id_y,title,body,created_at
1,user1,user1@example.com,25,New York,1,1,First Post,This is the first post by user1.,2023-01-01 08:00:00
1,user1,user1@example.com,25,New York,2,2,Second Post,This is the second post by user2.,2023-01-02 10:00:00
1,user1,user1@example.com,25,New York,3,3,Third Post,This is the third post by user3.,2023-01-03 12:00:00
1,user1,user1@example.com,25,New York,4,4,Fourth Post,This is the fourth post by user4.,2023-01-04 14:00:00
1,user1,user1@example.com,25,New York,6,1,Sixth Post,This is the second post by user1.,2023-01-02 08:00:00
1,user1,user1@example.com,25,New York,7,99,Sixth Post,This is the first post by user99.,2023-01-02 08:00:00
2,user2,user2@example.com,30,Los Angeles,1,1,First Post,This is the first post by user1.,2023-01-01 08:00:00
2,user2,user2@example.com,30,Los Angeles,2,2,Second Post,This is the second post by user2.,2023-01-02 10:00:00
2,user2,user2@example.com,30,Los Angeles,3,3,Third Post,This is the third post by user3.,2023-01-03 12:00:00
2,user2,user2@example.com,30,Los Angeles,4,4,Fourth Post,This is the fourth post by user4.,2023-01-04 14:00:00
2,user2,user2@example.com,30,Los Angeles,6,1,Sixth Post,This is the second post by user1.,2023-01-02 08:00:00
2,user2,user2@example.com,30,Los Angeles,7,99,Sixth Post,This is the first post by user99.,2023-01-02 08:00:00
3,user3,user3@example.com,28,Chicago,1,1,First Post,This is the first post by user1.,2023-01-01 08:00:00
3,user3,user3@example.com,28,Chicago,2,2,Second Post,This is the second post by user2.,2023-01-02 10:00:00
3,user3,user3@example.com,28,Chicago,3,3,Third Post,This is the third post by user3.,2023-01-03 12:00:00
3,user3,user3@example.com,28,Chicago,4,4,Fourth Post,This is the fourth post by user4.,2023-01-04 14:00:00
3,user3,user3@example.com,28,Chicago,6,1,Sixth Post,This is the second post by user1.,2023-01-02 08:00:00
3,user3,user3@example.com,28,Chicago,7,99,Sixth Post,This is the first post by user99.,2023-01-02 08:00:00
4,user4,user4@example.com,35,San Francisco,1,1,First Post,This is the first post by user1.,2023-01-01 08:00:00
4,user4,user4@example.com,35,San Francisco,2,2,Second Post,This is the second post by user2.,2023-01-02 10:00:00
4,user4,user4@example.com,35,San Francisco,3,3,Third Post,This is the third post by user3.,2023-01-03 12:00:00
4,user4,user4@example.com,35,San Francisco,4,4,Fourth Post,This is the fourth post by user4.,2023-01-04 14:00:00
4,user4,user4@example.com,35,San Francisco,6,1,Sixth Post,This is the second post by user1.,2023-01-02 08:00:00
4,user4,user4@example.com,35,San Francisco,7,99,Sixth Post,This is the first post by user99.,2023-01-02 08:00:00
5,user5,user5@example.com,22,Boston,1,1,First Post,This is the first post by user1.,2023-01-01 08:00:00
5,user5,user5@example.com,22,Boston,2,2,Second Post,This is the second post by user2.,2023-01-02 10:00:00
5,user5,user5@example.com,22,Boston,3,3,Third Post,This is the third post by user3.,2023-01-03 12:00:00
5,user5,user5@example.com,22,Boston,4,4,Fourth Post,This is the fourth post by user4.,2023-01-04 14:00:00
5,user5,user5@example.com,22,Boston,6,1,Sixth Post,This is the second post by user1.,2023-01-02 08:00:00
5,user5,user5@example.com,22,Boston,7,99,Sixth Post,This is the first post by user99.,2023-01-02 08:00:00
